mode,seed,best_val_rmse,test_mse,test_rmse,test_coh,test_mse_scaled,test_rmse_scaled
baseline,1337,222.09654065151346,67342.25585585585,259.50386481872647,1.9684175252914429,0.045404973760381474,0.21308442871402283
baseline,1338,409.3933262372111,218335.75015015015,467.2641117720792,1.3895544409751892,0.052295461431279916,0.22868200941761885
baseline,1339,409.364819870672,216271.0774774775,465.0495430354464,2.1018943786621094,0.05229984317813908,0.2286915896532688
baseline,1340,205.26256321077125,57215.454654654655,239.19752225860253,1.2774285674095154,0.044836523153402426,0.211746365148029
baseline,1341,381.5944109738591,190075.31051051052,435.9762728756125,1.9988647103309631,0.05082681787622584,0.22544803808466785
ncl,1337,160.70374959886635,57998.80840840841,240.82941765575154,0.17739465832710266,0.04436600143845017,0.21063238459090322
ncl,1338,153.0357654717142,58861.883483483485,242.61468109634976,0.154337577521801,0.044673653909035986,0.2113614295680174
ncl,1339,151.80942818707436,60455.14474474474,245.87627934541538,0.0904797725379467,0.04461865811734586,0.21123129057349874
ncl,1340,152.49083008909506,66045.35975975975,256.99291772295936,0.11581433936953545,0.044416101129205375,0.210751277882734
ncl,1341,154.21007971168643,60457.46786786787,245.88100347092262,0.12884130328893661,0.0446834552753437,0.21138461456630117
